Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - combined,[  33.463644 -116.971457],5.9559e-05,0.386503067485,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  38.613779 -121.368014],0.028776748,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - combined,[  38.558228 -121.492981],0.003575299,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,0,0.0
PM2.5 - combined,[  37.348497 -121.894898],4.217e-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.1
PM2.5 - combined,[  37.329841 -121.815438],0.015272462,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.57,0.28,0,0,0.14,0,0,0,0.0,0,0.0
PM2.5 - combined,[  36.48324 -121.15688],0.00409133,0.230769230769,0.769230769231,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  34.10374 -117.62914],0.002242459,0.0,0.0,0.0,0.0,0,0,0,0.0,0.247706422018,0.0825688073394,0.0,0,0,0.0,0,0,0,0.669724770642,0,0.0
PM2.5 - combined,[  34.093979 -117.527254],0.007088575,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.09,0,0.81
PM2.5 - combined,[  34.06957 -116.38893],0.003392568,0.172413793103,0.0,0.0,0.0,0,0,0,0.0,0.137931034483,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  34.10688 -117.27411],0.029679505,0.0,0.0,0.0,0.0,0,0,0,0.0,0.34,0.34,0.0,0,0,0.02,0,0,0,0.3,0,0.0
PM2.5 - combined,[  34.193925 -116.914063],0.001160076,0.04,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  32.817978 -116.968133],0.000853725,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.09,0.17,0,0,0.0,0,0,0,0.0,0,0.52
PM2.5 - combined,[  32.789561 -116.944222],0.004799378,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0825688073394,0.0,0,0,0.0,0,0,0,0.917431192661,0,0.0
PM2.5 - combined,[  37.508162 -122.246305],0.003334162,0.0,0.0,0.04,0.0,0,0,0,0.0,0.0,0.15,0.32,0,0,0.0,0,0,0,0.0,0,0.49
PM2.5 - combined,[  40.53999 -121.57646],0.012320219,0.578034682081,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  41.711825 -121.509993],0.033591824,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  37.641583 -120.994622],0.00245684,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.78,0.0,0,0,0.0,0,0,0,0.19,0,0.03
PM2.5 - combined,[  36.498835 -118.824821],0.00475896,0.666666666667,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - combined,[  36.332179 -119.291228],0.002756927,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.92,0.0,0,0,0.0,0,0,0,0.08,0,0.0
PM2.5 - Local Conditions,[  44.299787 -120.844773],0.006423585,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0917431192661,0.0,0,0,0.0,0,0,0,0.908256880734,0,0.0
PM2.5 - Local Conditions,[  43.58925 -119.04872],0.006862712,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0740740740741,0.166666666667,0.0,0,0,0.0,0,0,0,0.537037037037,0,0.0
PM2.5 - Local Conditions,[  42.31411 -122.87923],0.0068083605,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.97,0,0.0
PM2.5 - Local Conditions,[  42.434139 -123.348466],0.005863934,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08,0,0,0.0,0,0,0,0.92,0,0.0
PM2.5 - Local Conditions,[  42.190296 -121.731369],0.008142373,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0353982300885,0.0796460176991,0.0,0,0,0.0,0,0,0,0.884955752212,0,0.0
PM2.5 - Local Conditions,[  42.189215 -120.353969],0.006687603,0.0,0.0,0.0,0.0,0,0,0,0.26,0.0,0.18,0.0,0,0,0.02,0,0,0,0.46,0,0.08
PM2.5 - Local Conditions,[  44.067224 -123.141352],0.005800826,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.37,0.0,0,0,0.0,0,0,0,0.56,0,0.07
PM2.5 - Local Conditions,[  44.026312 -123.083737],0.0054784375,0.0,0.0,0.0,0.0,0,0,0,0.0,0.29,0.1,0.0,0,0,0.0,0,0,0,0.61,0,0.0
PM2.5 - Local Conditions,[  44.046696 -123.017704],0.004706897,0.0,0.0,0.03,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.22,0,0.75
PM2.5 - Local Conditions,[  43.744352 -122.480487],0.005701667,0.518134715026,0.0,0.0,0.0310880829016,0,0,0,0.0,0.0,0.145077720207,0.0,0,0,0.0,0,0,0,0.305699481865,0,0.0
