Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[  35.199179 -111.647939],38.697674,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.21,0,0.0,0.0
Suspended particulate (TSP),[  36.928056 -111.455556],26.877551,0.0,0.588235294118,0.0,0.0,0.0,0,0,0.0235294117647,0.0,0.0647058823529,0.0352941176471,0,0,0.0,0,0,0,0.170588235294,0,0.0,0.0
Suspended particulate (TSP),[  36.055261 -112.122113],59.017544,0.980392156863,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0196078431373,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  36.080539 -112.155726],75.607143,0.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  33.028676 -110.809551],66.305085,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  33.006179 -110.785797],62.610169,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.66,0,0.09,0.0
Suspended particulate (TSP),[  33.385278 -110.866389],46.915254,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  33.397555 -110.874001],105.137931,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0955056179775,0.0,0,0,0.0,0,0,0,0.342696629213,0,0.0,0.0
Suspended particulate (TSP),[  32.83388  -109.718611],65.558282,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.31,0.0,0,0,0.1,0,0,0,0.34,0,0.25,0.0
Suspended particulate (TSP),[  33.010278 -109.363889],82.428571,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.242424242424,0.0
Suspended particulate (TSP),[  34.149722 -114.288611],62.033898,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.244897959184,0.0,0,0,0.0,0,0,0,0.244897959184,0,0.0,0.0
Suspended particulate (TSP),[  33.410046 -111.864864],108.711864,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.3,0.0,0,0,0.39,0,0,0,0.31,0,0.0,0.0
Suspended particulate (TSP),[  33.41045 -111.86507],123.40678,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.24,0.0,0,0,0.46,0,0,0,0.3,0,0.0,0.0
Suspended particulate (TSP),[  33.604486 -111.928479],124.175439,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.85,0,0.0,0.0
Suspended particulate (TSP),[  33.47968 -111.91721],34.25,0.0,0.0,0.0,0.0,0.0,0,0,0.01,0.34,0.03,0.0,0,0,0.0,0,0,0,0.4,0,0.0,0.0
Suspended particulate (TSP),[  33.405323 -112.074036],100.659574,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,0,0.0,0.0
Suspended particulate (TSP),[  33.56033 -112.06626],125.344828,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.130434782609,0.0,0,0,0.0,0,0,0,0.869565217391,0,0.0,0.0
Suspended particulate (TSP),[  33.57454 -112.19196],38.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.25625,0.0,0,0,0.11875,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  33.45793 -112.04601],143.685185,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.163793103448,0.0,0,0,0.0,0,0,0,0.836206896552,0,0.0,0.0
Suspended particulate (TSP),[  34.48185 -114.33659],138.526316,0.0,0.0,0.0,0.0,0.0,0,0,0.155,0.0,0.1,0.0,0,0,0.0,0,0,0,0.245,0,0.0,0.0
Suspended particulate (TSP),[  35.187222 -114.064167],115.403509,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0714285714286,0.0,0,0,0.0,0,0,0,0.134920634921,0,0.0,0.0
Suspended particulate (TSP),[  34.959167 -110.331944],214.871795,0.0,0.01,0.0,0.0,0.0,0,0,0.0,0.0,0.16,0.1,0,0,0.16,0,0,0,0.57,0,0.0,0.0
Suspended particulate (TSP),[  34.924722 -110.264167],58.392857,0.0,0.88,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.12,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  34.2525   -110.036388],112.128205,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.62,0.0,0,0,0.26,0,0,0,0.12,0,0.0,0.0
Suspended particulate (TSP),[  31.87564  -110.993703],57.456522,0.0,0.0,0.0,0.0,0.0,0,0,0.76,0.0,0.0,0.11,0,0,0.0,0,0,0,0.08,0,0.0,0.0
Suspended particulate (TSP),[  31.95  -112.801],68.666667,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.159663865546,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  32.222058 -110.974681],22.4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.960784313725,0.0,0,0,0.0,0,0,0,0.0392156862745,0,0.0,0.0
Suspended particulate (TSP),[  32.004707 -110.792593],98.471698,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[  32.090357 -110.961758],192.625,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.137931034483,0,0.0,0.0
Suspended particulate (TSP),[  32.201978 -110.967905],80.542857,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.31,0.0,0,0,0.0,0,0,0,0.64,0,0.0,0.0
Suspended particulate (TSP),[  32.363963 -110.970653],117.538462,0.0,0.0,0.0,0.0,0.0,0,0,0.36,0.06,0.0,0.0,0,0,0.0,0,0,0,0.34,0,0.0,0.0
