LU,Parameter Name,Site_keys,ppm
"{'Residential': 0.11, 'Industrial': 0.09, 'Transportation, communications and services': 0.205, 'Evergreen forest land': 0.5, 'Shrub-brushland rangeland': 0.095}",PM2.5 - combined,[  42.104278 -123.681083],0.0027109340000000003
"{'Bare exposed rock': 0.1452991452991453, 'Evergreen forest land': 0.8547008547008547}",PM2.5 - combined,[  42.909851 -122.140861],0.003127917
{'Evergreen forest land': 1.0},PM2.5 - combined,[  44.19982  -122.044547],0.003935222
{'Residential': 1.0},PM2.5 - combined,[  45.496641 -122.602877],0.003291933
"{'Commercial and Services': 0.04, 'Residential': 0.96}",PM2.5 - combined,[  45.56137 -122.6679 ],0.002161799
"{'Commercial and Services': 0.04, 'Residential': 0.76, 'Industrial': 0.2}",PM2.5 - combined,[  45.577175 -122.71775 ],5.809999999999999e-07
"{'Residential': 0.88, 'Industrial': 0.04, 'Other urban or built-up land': 0.08}",PM2.5 - combined,[  45.599907 -122.758362],0.002415914
"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}",PM2.5 - combined,[  45.224748 -118.513962],0.019418217999999998
"{'Commercial and Services': 0.01, 'Residential': 0.83, 'Cropland and pasture': 0.01, 'Transportation, communications and services': 0.05, 'Mixed urban or built-up land': 0.1}",PM2.5 - combined,[  45.339    -118.095206],0.003218165
{'Evergreen forest land': 1.0},PM2.5 - combined,[  45.079864 -116.844808],0.001204465
"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}",PM2.5 - combined,[  45.528501 -122.972398],2.4050000000000003e-06
"{'Commercial and Services': 0.24, 'Residential': 0.28, 'Industrial': 0.35, 'Other urban or built-up land': 0.04, 'Transportation, communications and services': 0.09}",PM2.5 - combined,[  45.393497 -122.747894],3.0500000000000004e-06
"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}",PM2.5 - Local Conditions,[ 41.170833 -73.194722],0.008616447000000001
"{'Commercial and Services': 0.5, 'Residential': 0.39, 'Transportation, communications and services': 0.11}",PM2.5 - Local Conditions,[ 41.399167 -73.443056],0.007030703333333332
"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}",PM2.5 - Local Conditions,[ 41.771444 -72.679923],0.005681379499999999
"{'Commercial and Services': 0.58, 'Residential': 0.38, 'Forested wetland': 0.04}",PM2.5 - Local Conditions,[ 41.784722 -72.631667],0.007691378
{'Deciduous forest land': 1.0},PM2.5 - Local Conditions,[ 41.821342 -73.297257],0.007364527333333333
"{'Streams and canals': 0.21084337349397592, 'Bays and estuaries': 0.08433734939759036, 'Transportation, communications and services': 0.463855421686747, 'Industrial': 0.24096385542168675}",PM2.5 - Local Conditions,[ 41.3014   -72.902871],0.0073068905000000005
"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}",PM2.5 - Local Conditions,[ 41.550556 -73.043611],0.006405228666666665
"{'Commercial and Services': 0.00909090909090909, 'Residential': 0.6363636363636364, 'Streams and canals': 0.16363636363636364, 'Industrial': 0.1, 'Other urban or built-up land': 0.09090909090909091}",PM2.5 - Local Conditions,[ 41.35362 -72.07882],0.0050456215
"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}",PM2.5 - combined,[ 41.170833 -73.194722],0.0077781820000000015
"{'Commercial and Services': 0.5, 'Residential': 0.39, 'Transportation, communications and services': 0.11}",PM2.5 - combined,[ 41.399167 -73.443056],0.042587206
"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}",PM2.5 - combined,[ 41.771444 -72.679923],0.00152468
