,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
67,"[(-71.122008800000003, 42.29402374), (-71.117305200000004, 42.29402374), (-71.117305200000004, 42.296606480000001), (-71.122008800000003, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.03,0.28,0.0,0.0,0.01,0.0,0.09,0.0,0.0,0.12,0.04,0.0,0.0,0.0
68,"[(-71.117305200000004, 42.29402374), (-71.112601600000005, 42.29402374), (-71.112601600000005, 42.296606480000001), (-71.117305200000004, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.03,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1,0.17,0.0,0.0,0.0
69,"[(-71.112601600000005, 42.29402374), (-71.107898000000006, 42.29402374), (-71.107898000000006, 42.296606480000001), (-71.112601600000005, 42.296606480000001)]",0.0,0.0,0.0,0.69,0.0,0.0,0.3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
70,"[(-71.107898000000006, 42.29402374), (-71.103194400000007, 42.29402374), (-71.103194400000007, 42.296606480000001), (-71.107898000000006, 42.296606480000001)]",0.0,0.0,0.0,0.89,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
71,"[(-71.103194400000007, 42.29402374), (-71.098490800000008, 42.29402374), (-71.098490800000008, 42.296606480000001), (-71.103194400000007, 42.296606480000001)]",0.0,0.0,0.0,0.92,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"[(-71.098490800000008, 42.29402374), (-71.093787200000008, 42.29402374), (-71.093787200000008, 42.296606480000001), (-71.098490800000008, 42.296606480000001)]",0.0,0.03,0.0,0.07,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.03
73,"[(-71.093787200000008, 42.29402374), (-71.089083600000009, 42.29402374), (-71.089083600000009, 42.296606480000001), (-71.093787200000008, 42.296606480000001)]",0.0,0.01,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.67,0.0,0.0,0.0
74,"[(-71.089083600000009, 42.29402374), (-71.08438000000001, 42.29402374), (-71.08438000000001, 42.296606480000001), (-71.089083600000009, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.25,0.0,0.0,0.0
75,"[(-71.08438000000001, 42.29402374), (-71.079676399999997, 42.29402374), (-71.079676399999997, 42.296606480000001), (-71.08438000000001, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
76,"[(-71.079676399999997, 42.29402374), (-71.074972799999998, 42.29402374), (-71.074972799999998, 42.296606480000001), (-71.079676399999997, 42.296606480000001)]",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.06,0.0,0.0,0.0
